
 ***** Partition function results *****

 Temp Q_Fragments  Q_TS   (Monte Carlo err)
  (K)    (cm-3)            (%; 0==>quadrature)
  200. 0.535E+28  373.       0.0
  210. 0.651E+28  412.       0.0
  220. 0.785E+28  455.       0.0
  230. 0.938E+28  504.       0.0
  240. 0.111E+29  558.       0.0
  250. 0.131E+29  617.       0.0
  260. 0.153E+29  683.       0.0
  270. 0.178E+29  757.       0.0
  280. 0.206E+29  837.       0.0
  290. 0.236E+29  926.       0.0
  300. 0.270E+29 0.102E+04   0.0
  310. 0.308E+29 0.113E+04   0.0
  320. 0.349E+29 0.125E+04   0.0
  330. 0.394E+29 0.138E+04   0.0
  340. 0.442E+29 0.152E+04   0.0
  350. 0.496E+29 0.167E+04   0.0
  360. 0.553E+29 0.184E+04   0.0
  370. 0.616E+29 0.202E+04   0.0
  380. 0.683E+29 0.221E+04   0.0
  390. 0.756E+29 0.242E+04   0.0
  400. 0.834E+29 0.265E+04   0.0
  410. 0.917E+29 0.290E+04   0.0
  420. 0.101E+30 0.317E+04   0.0
  430. 0.110E+30 0.346E+04   0.0
  440. 0.120E+30 0.376E+04   0.0
  450. 0.131E+30 0.410E+04   0.0
  460. 0.143E+30 0.445E+04   0.0
  470. 0.155E+30 0.483E+04   0.0
  480. 0.168E+30 0.524E+04   0.0
  490. 0.182E+30 0.568E+04   0.0
  500. 0.197E+30 0.615E+04   0.0
  510. 0.212E+30 0.665E+04   0.0
  520. 0.229E+30 0.718E+04   0.0
  530. 0.246E+30 0.775E+04   0.0
  540. 0.264E+30 0.835E+04   0.0
  550. 0.283E+30 0.899E+04   0.0
  560. 0.303E+30 0.967E+04   0.0
  570. 0.324E+30 0.104E+05   0.0
  580. 0.346E+30 0.112E+05   0.0
  590. 0.369E+30 0.120E+05   0.0
  600. 0.393E+30 0.128E+05   0.0
  610. 0.419E+30 0.137E+05   0.0
  620. 0.445E+30 0.147E+05   0.0
  630. 0.473E+30 0.157E+05   0.0
  640. 0.502E+30 0.168E+05   0.0
  650. 0.532E+30 0.179E+05   0.0
  660. 0.563E+30 0.191E+05   0.0
  670. 0.596E+30 0.204E+05   0.0
  680. 0.630E+30 0.217E+05   0.0
  690. 0.666E+30 0.231E+05   0.0
  700. 0.703E+30 0.246E+05   0.0
  800. 0.116E+31 0.440E+05   0.0
  900. 0.180E+31 0.745E+05   0.0
 1000. 0.266E+31 0.120E+06   0.0
 1100. 0.380E+31 0.187E+06   0.0
 1200. 0.527E+31 0.282E+06   0.0
 1300. 0.712E+31 0.414E+06   0.0
 1400. 0.943E+31 0.593E+06   0.0
 1500. 0.123E+32 0.831E+06   0.0
 1600. 0.157E+32 0.114E+07   0.0
 1700. 0.199E+32 0.155E+07   0.0
 1800. 0.249E+32 0.207E+07   0.0
 1900. 0.308E+32 0.272E+07   0.0
 2000. 0.378E+32 0.354E+07   0.0
 2100. 0.459E+32 0.456E+07   0.0
 2200. 0.554E+32 0.581E+07   0.0
 2300. 0.664E+32 0.733E+07   0.0
 2400. 0.791E+32 0.917E+07   0.0
 2500. 0.936E+32 0.114E+08   0.0
 2600. 0.110E+33 0.140E+08   0.0
 2700. 0.129E+33 0.171E+08   0.0
 2800. 0.150E+33 0.208E+08   0.0
 2900. 0.175E+33 0.251E+08   0.0
 3000. 0.202E+33 0.300E+08   0.0
