*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
         1000           10  2.41308e+10    0.0276854  8.81947e-05   0.00338129
         1005           10  2.40488e+10    0.0257305  6.63691e-05   0.00257709
         1010           10  2.39677e+10    0.0277981   9.1462e-05   0.00352624
         1015           10  2.38872e+10    0.0274482  9.01135e-05   0.00348751
         1020           10  2.38075e+10    0.0257104  6.74294e-05   0.00264996
         1025           10  2.37285e+10    0.0254557   6.6089e-05    0.0026131
         1030           10  2.36502e+10     0.027339  9.11449e-05   0.00355736
         1035           10  2.35725e+10    0.0272044  9.06595e-05   0.00355925
         1040           10  2.34956e+10    0.0253674  6.69916e-05   0.00267094
         1045           10  2.34193e+10    0.0250778  6.63201e-05   0.00265877
         1050           10  2.33437e+10    0.0270458  9.13283e-05   0.00362462
         1055           10  2.32687e+10     0.026947  9.09024e-05    0.0036196
         1060           10  2.31944e+10    0.0250861  6.82057e-05   0.00276277
         1065           10  2.31207e+10    0.0247879  6.63061e-05   0.00270269
         1070           10  2.30476e+10    0.0268177  9.27334e-05   0.00372826
         1075           10  2.29752e+10    0.0266151  9.11131e-05   0.00368281
         1080           10  2.29033e+10    0.0247481  6.84986e-05   0.00281865
         1085           10  2.28321e+10    0.0246762  6.79353e-05   0.00280101
         1090           10  2.27614e+10    0.0264406  9.26057e-05   0.00377484
         1095           10  2.26914e+10    0.0263133  9.12196e-05      0.00375
         1100           10  2.26219e+10    0.0245379  6.96372e-05    0.0028916
         1105           10  2.25529e+10     0.024306  6.82728e-05   0.00285666
         1110           10  2.24845e+10    0.0262434  9.46117e-05   0.00391574
         1115           10  2.24167e+10    0.0242678   7.0671e-05   0.00296396
         1120           10  2.23494e+10    0.0243256  7.01488e-05   0.00296575
         1125           10  2.22827e+10    0.0259316  9.55907e-05   0.00400832
         1130           10  2.22165e+10    0.0259098  9.54328e-05   0.00399468
         1135           10  2.21508e+10    0.0241149  7.25541e-05   0.00309882
         1140           10  2.20856e+10    0.0239667  7.03715e-05   0.00300969
         1145           10  2.20209e+10    0.0258482  9.95776e-05   0.00423533
         1150           10  2.19568e+10    0.0257764   9.5491e-05   0.00406864
         1155           10  2.18931e+10       0.0238  7.34564e-05   0.00317757
         1160           10  2.18299e+10    0.0239099  7.32794e-05   0.00319221
         1165           10  2.17672e+10    0.0254926  9.86804e-05   0.00423017
         1170           10   2.1705e+10    0.0254587  9.81488e-05   0.00421421
         1175           10  2.16433e+10     0.023761   7.5795e-05   0.00332158
         1180           10   2.1582e+10    0.0236005  7.46454e-05   0.00328074
         1185           10  2.15212e+10    0.0252748  9.97608e-05   0.00432272
         1190           10  2.14608e+10    0.0251347  9.90754e-05   0.00431809
         1195           10  2.14009e+10    0.0234682  7.69658e-05   0.00341366
         1200           10  2.13414e+10    0.0232665  7.57768e-05    0.0033801
         1205           10  2.12824e+10    0.0250903  0.000102274   0.00449815
         1210           10  2.12237e+10    0.0233892  7.86256e-05   0.00352598
         1215           10  2.11656e+10     0.023228  7.81395e-05   0.00351039
         1220           10  2.11078e+10    0.0250369  0.000105214    0.0046686
         1225           10  2.10505e+10    0.0248328  0.000103552   0.00461357
         1230           10  2.09935e+10    0.0230852  7.99883e-05   0.00363325
         1235           10   2.0937e+10    0.0229855  8.08729e-05   0.00368427
         1240           10  2.08809e+10    0.0248895  0.000108048   0.00485518
         1245           10  2.08251e+10    0.0247037  0.000107798   0.00485574
         1250           10  2.07698e+10     0.022957  8.32684e-05   0.00382784
         1255           10  2.07149e+10    0.0227255  8.24298e-05   0.00379976
         1260           10  2.06603e+10    0.0246189  0.000109939   0.00499418
         1265           10  2.06061e+10    0.0244703  0.000108625   0.00496686
         1270           10  2.05523e+10    0.0227973  8.63403e-05   0.00401181
         1275           10  2.04988e+10    0.0227526  8.55404e-05   0.00399569
         1280           10  2.04458e+10    0.0243369  0.000111206   0.00512016
         1285           10  2.03931e+10    0.0241976  0.000110039   0.00509045
         1290           10  2.03407e+10    0.0225022  8.84039e-05   0.00415839
         1295           10  2.02887e+10    0.0223636  8.73132e-05   0.00413399
         1300           10   2.0237e+10    0.0241623  0.000115025    0.0053503
         1305           10  2.01857e+10    0.0240943   0.00011521   0.00537933
         1310           10  2.01348e+10    0.0222651  9.09559e-05   0.00433201
         1315           10  2.00841e+10    0.0241047  0.000118883   0.00558615
         1320           10  2.00338e+10    0.0242046  0.000120879   0.00569303
         1325           10  1.99839e+10    0.0222561   9.3307e-05   0.00448585
         1330           10  1.99342e+10     0.022273  9.54032e-05   0.00459659
         1335           10  1.98849e+10    0.0239626  0.000123102   0.00584193
         1340           10  1.98359e+10    0.0238785  0.000122923   0.00586006
