*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
         1000           10  2.41308e+10    0.0292411  0.000115443   0.00431941
         1005           10  2.40488e+10    0.0270465  8.66783e-05    0.0032956
         1010           10  2.39677e+10    0.0293506   0.00011928   0.00448886
         1015           10  2.38872e+10    0.0289732  0.000117333   0.00443806
         1020           10  2.38075e+10    0.0270182  8.75646e-05   0.00337369
         1025           10  2.37285e+10    0.0267278  8.56621e-05   0.00331934
         1030           10  2.36502e+10    0.0288349  0.000118081   0.00450731
         1035           10  2.35725e+10    0.0286791  0.000117178     0.004502
         1040           10  2.34956e+10     0.026615  8.63966e-05   0.00337857
         1045           10  2.34193e+10    0.0263014   8.5366e-05   0.00335981
         1050           10  2.33437e+10    0.0284962  0.000117457    0.0045662
         1055           10  2.32687e+10    0.0283681  0.000116757   0.00455401
         1060           10  2.31944e+10    0.0262954   8.7339e-05   0.00347545
         1065           10  2.31207e+10    0.0259528   8.4727e-05   0.00339384
         1070           10  2.30476e+10    0.0282236  0.000118546   0.00467266
         1075           10  2.29752e+10     0.027994  0.000116294   0.00460714
         1080           10  2.29033e+10    0.0259043  8.71225e-05   0.00352629
         1085           10  2.28321e+10    0.0258312  8.63714e-05   0.00350236
         1090           10  2.27614e+10     0.027783  0.000117661   0.00470237
         1095           10  2.26914e+10    0.0276303  0.000115575   0.00466149
         1100           10  2.26219e+10    0.0256662  8.81764e-05   0.00360165
         1105           10  2.25529e+10    0.0254132  8.62468e-05   0.00355005
         1110           10  2.24845e+10    0.0275272  0.000119374   0.00484939
         1115           10  2.24167e+10    0.0253666   8.9082e-05   0.00367598
         1120           10  2.23494e+10    0.0254021  8.81864e-05   0.00366886
         1125           10  2.22827e+10    0.0272031  0.000120072   0.00494959
         1130           10  2.22165e+10    0.0271713   0.00011975   0.00493004
         1135           10  2.21508e+10     0.025185  9.08272e-05   0.00382307
         1140           10  2.20856e+10    0.0250151  8.79856e-05   0.00370959
         1145           10  2.20209e+10    0.0271104  0.000124343   0.00520592
         1150           10  2.19568e+10    0.0270032  0.000119129   0.00499056
         1155           10  2.18931e+10    0.0248514  9.14528e-05   0.00390643
         1160           10  2.18299e+10    0.0249377  9.10311e-05   0.00391269
         1165           10  2.17672e+10    0.0266782  0.000122706   0.00517166
         1170           10   2.1705e+10    0.0266618  0.000121915    0.0051531
         1175           10  2.16433e+10    0.0247669  9.38189e-05   0.00405434
         1180           10   2.1582e+10    0.0246025  9.23633e-05   0.00400433
         1185           10  2.15212e+10    0.0264431  0.000123443   0.00526894
         1190           10  2.14608e+10    0.0262954  0.000122383   0.00526043
         1195           10  2.14009e+10    0.0244542  9.48774e-05   0.00415347
         1200           10  2.13414e+10    0.0242352  9.32738e-05   0.00411087
         1205           10  2.12824e+10    0.0262263  0.000125824   0.00545797
         1210           10  2.12237e+10    0.0243605  9.65156e-05   0.00427465
         1215           10  2.11656e+10    0.0241855  9.58452e-05   0.00425641
         1220           10  2.11078e+10    0.0261589  0.000128971   0.00564573
         1225           10  2.10505e+10    0.0259352  0.000126753   0.00557169
         1230           10  2.09935e+10    0.0240159  9.77229e-05   0.00438862
         1235           10   2.0937e+10    0.0239113  9.86922e-05   0.00444746
         1240           10  2.08809e+10    0.0259938  0.000131785    0.0058463
         1245           10  2.08251e+10    0.0257817  0.000131376   0.00584085
         1250           10  2.07698e+10    0.0238795  0.000101264   0.00460595
         1255           10  2.07149e+10     0.023624  0.000100122   0.00456949
         1260           10  2.06603e+10    0.0256874   0.00013356   0.00599145
         1265           10  2.06061e+10    0.0255219  0.000131751   0.00595111
         1270           10  2.05523e+10     0.023701  0.000104525   0.00481027
         1275           10  2.04988e+10    0.0236433  0.000103419   0.00478319
         1280           10  2.04458e+10    0.0253677  0.000134487   0.00611831
         1285           10  2.03931e+10      0.02522  0.000132999   0.00608228
         1290           10  2.03407e+10     0.023368  0.000106569   0.00496601
         1295           10  2.02887e+10    0.0232124  0.000105105   0.00493026
         1300           10   2.0237e+10     0.025169  0.000138596   0.00637167
         1305           10  2.01857e+10    0.0250963  0.000138655   0.00640235
         1310           10  2.01348e+10    0.0231037  0.000109183   0.00515376
         1315           10  2.00841e+10    0.0251071   0.00014275   0.00663437
         1320           10  2.00338e+10    0.0252151   0.00014502   0.00675584
         1325           10  1.99839e+10    0.0230956  0.000111677   0.00532424
         1330           10  1.99342e+10    0.0231184  0.000114109   0.00545232
         1335           10  1.98849e+10    0.0249477  0.000147287   0.00691724
         1340           10  1.98359e+10    0.0248517  0.000146928   0.00692937
         1345           10  1.97872e+10    0.0231087  0.000119807   0.00576433
         1350           10  1.97389e+10     0.023052  0.000118207   0.00571376
         1355           10  1.96908e+10    0.0246259  0.000150037    0.0071465
         1360           10  1.96431e+10    0.0244782  0.000149008   0.00713116
         1365           10  1.95956e+10    0.0228368  0.000122335   0.00597103
         1370           10  1.95485e+10    0.0226843  0.000120445   0.00589431
         1375           10  1.95016e+10    0.0243814   0.00015301   0.00736467
         1380           10  1.94551e+10    0.0242709  0.000153642   0.00746337
         1385           10  1.94088e+10     0.022549  0.000124824   0.00614903
         1390           10  1.93628e+10    0.0222252  0.000122601   0.00608344
         1395           10  1.93171e+10    0.0246431  0.000161816   0.00791083
         1400           10  1.92717e+10    0.0240795  0.000159851   0.00785327
         1405           10  1.92266e+10    0.0225554   0.00012826   0.00643338
         1410           10  1.91817e+10    0.0220714  0.000126829   0.00641093
