    E, kcal/mol    D, mol/kcal         W1->P1
              0              0            ***
            0.1        419.378    9.47209e-24
            0.2        419.378    1.66039e-23
            0.3        419.378    2.84328e-23
            0.4        419.378    4.77013e-23
            0.5        419.378    7.85879e-23
            0.6        419.378    1.27388e-22
            0.7        419.378    2.03489e-22
            0.8        419.378    3.20765e-22
            0.9        419.378    4.99536e-22
              1        419.378    7.69336e-22
            1.1        419.378    1.17277e-21
            1.2        419.378    1.77087e-21
            1.3        419.378    2.65052e-21
            1.4        419.378    3.93463e-21
            1.5        419.378     5.7961e-21
            1.6        419.378    8.47687e-21
            1.7        1331.02     3.8798e-21
            1.8        1258.13    5.92438e-21
            1.9        1258.13    8.49952e-21
              2        1258.13    1.21244e-20
            2.1        1258.13    1.72017e-20
            2.2        1258.13    2.42795e-20
            2.3        1258.13    3.41019e-20
            2.4        1258.13    4.76742e-20
            2.5        1258.13     6.6351e-20
            2.6        1258.13     9.1951e-20
            2.7        1258.13    1.26908e-19
            2.8        1258.13    1.74469e-19
            2.9        1258.13    2.38953e-19
              3        1258.13     3.2609e-19
            3.1        1258.13    4.43457e-19
            3.2        1258.13    6.01053e-19
            3.3        1258.13    8.12032e-19
            3.4        2523.67    5.45226e-19
            3.5        2516.27    7.34272e-19
            3.6        2516.27    9.83111e-19
            3.7        2935.65    1.12507e-18
            3.8        2935.64    1.49807e-18
            3.9        2935.64    1.98947e-18
              4        2935.64    2.63536e-18
            4.1        2935.64    3.48233e-18
            4.2        2935.64    4.59049e-18
            4.3        2935.64    6.03725e-18
            4.4        2935.64    7.92207e-18
            4.5        2935.64    1.03725e-17
            4.6        2935.64     1.3552e-17
            4.7        2935.64    1.76694e-17
            4.8        2935.64    2.29913e-17
            4.9        2935.64    2.98572e-17
              5        2935.64    3.86992e-17
            5.1         4611.6     3.1871e-17
            5.2        4613.15    4.11433e-17
            5.3        4613.15    5.30368e-17
            5.4         5451.9      5.775e-17
            5.5        5451.91    7.41892e-17
