*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P         *E/F           *P
            K          atm        1/sec                         0            0            1            1
          200            1  8.99707e+09     0.223242    0.0326736     0.509494    0.0413688     0.560956
          210            1   8.5712e+09     0.243021    0.0399001      0.56065     0.050826     0.611594
          220            1  8.18776e+09     0.281287    0.0487001     0.605783    0.0596043     0.654342
          230            1  7.84104e+09      0.29448     0.051678     0.611952    0.0653816     0.660982
          240            1  7.52624e+09     0.299996    0.0555726     0.644225    0.0687598     0.688997
          250            1  7.23933e+09     0.342224    0.0688709      0.69197    0.0838701     0.734356
          260            1  6.97686e+09     0.380464    0.0835382      0.72448      0.10656     0.768662
          270            1  6.73594e+09     0.145423    0.0710021     0.830381    0.0919117     0.756313
          280            1  6.51405e+09     0.365982    0.0784324     0.730775    0.0933216      0.76646
          290            1  6.30905e+09     0.388539    0.0905573     0.763842     0.107246     0.798575
          300            1  6.11911e+09     0.393814    0.0986096     0.784373     0.121562     0.816752
          310            1  5.94261e+09     0.396858     0.103024     0.797528      0.12796     0.828294
          320            1  5.77817e+09     0.388315     0.110956     0.818233     0.138711     0.844921
          330            1  5.62457e+09     0.487205     0.136754     0.843883      0.16118     0.870862
          340            1  5.48076e+09     0.392933     0.104341     0.810207     0.128731     0.837009
          350            1  5.34581e+09     0.473648     0.162498     0.875302      0.18156     0.899044
          360            1  5.21891e+09     0.474004     0.170836      0.88843     0.222895     0.910844
          370            1  5.09932e+09      0.49362     0.143499     0.861749     0.165646     0.883856
          380            1  4.98641e+09     0.493756     0.144297      0.86444     0.165194     0.885635
          390            1  4.87962e+09     0.176019     0.017942     0.947567    0.0269195     0.973698
          400            1  4.77844e+09     0.459825     0.177187     0.906196     0.229902     0.922821
          410            1  4.68243e+09     0.491931     0.149982     0.876751     0.168025     0.895255
          420            1  4.59116e+09     0.476791     0.163016     0.891069     0.179122     0.908354
          430            1   4.5043e+09     0.744725     0.260995     0.937362     0.295767     0.951888
          440            1   4.4215e+09     0.415685     0.177546     0.909577     0.181778     0.924718
          450            1  4.34248e+09     0.439773     0.178763     0.918442     0.235702     0.931942
          460            1  4.26697e+09     0.601721     0.230728     0.919804     0.249489      0.94069
          470            1  4.19473e+09     0.679843     0.243777     0.937404      0.27438     0.948669
          480            1  4.12555e+09      0.77763     0.276331     0.950025     0.304961      0.96027
          490            1  4.05921e+09      0.76297     0.273899     0.950092     0.300783     0.959749
          500            1  3.99555e+09     0.665267     0.238899     0.938786     0.266554       0.9488
          510            1   3.9344e+09     0.918613      0.30668     0.962895     0.316674       0.9721
          520            1  3.87559e+09      1.37126     0.279805     0.970212     0.476876      0.97466
          530            1  3.81901e+09     0.392999     0.188389     0.939738     0.271046      0.94748
          540            1   3.7645e+09      1.61858     0.285481      0.97704     0.503064      0.98243
          550            1  3.71197e+09     0.975221     0.313218     0.968109     0.315416     0.975785
          560            1  3.66129e+09     0.705102     0.257935     0.950988     0.283178     0.958702
          570            1  3.61237e+09     0.964031     0.310688     0.975626     0.311697     0.968616
          580            1  3.56511e+09      1.40378     0.260408     0.983545     0.310856      0.97834
          590            1  3.51942e+09      1.79774     0.277293     0.982076     0.525272     0.986212
          600            1  3.47524e+09      1.77314     0.276801     0.981901     0.511424     0.985935
          610            1  3.43247e+09       1.2254     0.273837     0.982447     0.319358     0.977141
          620            1  3.39105e+09     0.860473     0.302244      0.96759     0.319942     0.973805
          630            1  3.35091e+09      2.66007     0.185291     0.986731     0.590803     0.989771
          640            1    3.312e+09     0.957942     0.312589     0.972064     0.325132     0.977352
          650            1  3.27425e+09      1.89955     0.265145     0.984193     0.525727     0.987799
          660            1  3.23761e+09      12.7958     0.577426     0.989759     0.674589     0.992467
          670            1  3.20203e+09      1.82861     0.659629     0.987972     0.801453     0.991625
          680            1  3.16747e+09     0.869756     0.306964     0.971311      0.32107      0.97633
          690            1  3.13387e+09        0.953     0.512524     0.973649     0.612488     0.977295
          700            1   3.1012e+09      8.21848     0.687995     0.992945     0.824651     0.995097
          800            1  2.81775e+09      24.3845     0.800499      0.99583     0.958112     0.997118
          900            1  2.59443e+09      2.51145     0.217284      0.99149     0.567791     0.992985
         1000            1  2.41308e+09      81.6649      1.03611      0.99823      1.23764     0.998791
         1100            1  2.26219e+09      298.248     0.783829     0.997263     0.881631     0.997858
         1200            1  2.13414e+09      38.2521      3.19947     0.999924      31.5133     0.995484
         1300            1   2.0237e+09      71.1954      3.41698     0.999948      59.7762     0.996254
         1400            1  1.92717e+09      349.121      1.55796     0.999572      1.83759     0.999712
         1500            1  1.84184e+09      1069.78     0.981108     0.998879      1.07151     0.999085
         1600            1   1.7657e+09      1835.48      39.1568     0.998621      46.8457     0.998813
         1700            1  1.69722e+09      1702.71      1.07928     0.999231      1.16479     0.999359
         1800            1  1.63519e+09      472.853      4.38399     0.999989      412.551     0.998334
         1900            1  1.57867e+09      4545.07      332.556     0.998825      381.991      0.99895
         2000            1   1.5269e+09      1292.45      2.42538      0.99992       2.7808     0.999947
         2100            1  1.47926e+09      6206.27      455.788     0.999173      521.556      0.99926
         2200            1  1.43525e+09      6904.31      469.418     0.999336      537.177     0.999406
         2300            1  1.39442e+09      1412.87      4.30871     0.999991      5.21673     0.999997
         2400            1  1.35643e+09      5295.06      51.4334     0.999795      61.4726     0.999825
         2500            1  1.32097e+09       2740.9      3.14609     0.999974      3.53466     0.999983
         2600            1  1.28778e+09      2227.08      5.63592     0.999998      1990.15     0.999323
         2700            1  1.25662e+09      2562.27      5.77082     0.999999      2297.74     0.999383
         2800            1  1.22732e+09      4024.76      3.56318     0.999986      3.96143     0.999991
         2900            1   1.1997e+09      8901.18      57.7693     0.999922      69.0517     0.999934
         3000            1   1.1736e+09      20891.6      1681.03     0.999724       1893.7     0.999751
         3100            1  1.14889e+09      8623.68      2.68007     0.999968      2.87568     0.999974
         3200            1  1.12547e+09      30064.1      2871.29     0.999711      3192.75     0.999736
         3300            1  1.10323e+09        18673      614.083     0.999913      702.702     0.999923
         3400            1  1.08207e+09      12195.2       2.8422     0.999976      3.01945      0.99998
         3500            1  1.06191e+09      8651.63      4.44771     0.999996      4.84545     0.999997
         3600            1  1.04268e+09       7501.3      6.79146            1      6880.57     0.999704
         3700            1  1.02431e+09      58679.3      6409.34     0.999761      6994.15     0.999778
         3800            1  1.00674e+09      65203.3      7123.14     0.999776      7764.64     0.999792
         3900            1  9.89916e+08      10076.8      7.07296            1      9270.85     0.999758
         4000            1   9.7379e+08      13532.4      5.01188     0.999998      5.39956     0.999999
