Pressure (atm),Temperature (K),P1_SymmetryFactor_1_P1->W1,W2_Energy_1_P1->W1,B4_Energy_1_P1->W1,W1_Frequencies_1_P1->W1,P2_SymmetryFactor_1_P1->W1,W1_Energy_1_P1->W1,B5_Frequencies_1_P1->W1,P2_Energy_1_P1->W1,B4_Frequencies_1_P1->W1,P2_Frequencies_1_P1->W1,B4_SymmetryFactor_1_P1->W1,P1_Frequencies_1_P1->W1,W1_SymmetryFactor_1_P1->W1,B5_SymmetryFactor_1_P1->W1,B5_Energy_1_P1->W1,W2_Frequencies_1_P1->W1,W2_SymmetryFactor_1_P1->W1,P1_Energy_1_P1->W1
10.0,1000.0,1.0000022545457752,0.0,-0.5003584158167914,0.0,0.0,0.0,-0.2258118793038842,0.0,-2.698452273398441,0.0,-0.9419622683320633,1.6766530689900054,0.0,-0.05429566236518383,-0.0029020052129359987,0.0,0.0,0.5032218724237159
10.0,1005.0,1.0000022202657364,0.0,-0.49800203389542924,0.0,0.0,0.0,-0.21582031640325336,0.0,-2.7183540922374565,0.0,-0.9445592154385136,1.6824467015818967,0.0,-0.051872180415887204,-0.0027531106892339304,0.0,0.0,0.5007182653955639
10.0,1010.0,1.0000021865434148,0.0,-0.4956656591895587,0.0,0.0,0.0,-0.20608907838710236,0.0,-2.7378701278530313,0.0,-0.9470875453790135,1.688238148495963,0.0,-0.04951258586089248,-0.0026090149568242,0.0,0.0,0.4982394467141593
10.0,1015.0,1.0000021533673578,0.0,-0.49334904489689624,0.0,0.0,0.0,-0.19661194463961768,0.0,-2.7570088569299593,0.0,-0.949548903138254,1.6940266306257712,0.0,-0.04721534791099071,-0.002469598207793893,0.0,0.0,0.4957850500469252
10.0,1020.0,1.0000021207264,0.0,-0.49105194810086444,0.0,0.0,0.0,-0.1873828628279467,0.0,-2.775778535789598,0.0,-0.951944889135632,1.699811399973438,0.0,-0.04497897723882275,-0.002334743937329898,0.0,0.0,0.4933547162443234
10.0,1025.0,1.000002088609655,0.0,-0.48877412969896217,0.0,0.0,0.0,-0.17839594367373704,0.0,-2.7941872070790037,0.0,-0.9542770606110104,1.7055917385066242,0.0,-0.04280202468978616,-0.0022043388400018204,0.0,0.0,0.49094809316465426
10.0,1030.0,1.0000020570065067,0.0,-0.48651535433255066,0.0,0.0,0.0,-0.16964545590953262,0.0,-2.812242706227069,0.0,-0.9565469329614494,1.7113669570599546,0.0,-0.0406830800385597,-0.0020782727097380816,0.0,0.0,0.4885648355039652
10.0,1035.0,1.0000020259066011,0.0,-0.4842753903180305,0.0,0.0,0.0,-0.16112582141268111,0.0,-2.8299526676769746,0.0,-0.9587559810308649,1.717136394278995,0.0,-0.03862077078939964,-0.0019564383433458483,0.0,0.0,0.486204604630884
10.0,1040.0,1.0000019952998396,0.0,-0.48205400957938244,0.0,0.0,0.0,-0.1528316105097654,0.0,-2.8473245309035518,0.0,-0.9609056403544775,1.7228994156049864,0.0,-0.03661376101849743,-0.0018387314474348864,0.0,0.0,0.48386706842622207
10.0,1045.0,1.0000019651763705,0.0,-0.47985098758204797,0.0,0.0,0.0,-0.14475753744474404,0.0,-2.8643655462240725,0.0,-0.9629973083598314,1.7286554122986348,0.0,-0.034660750256728594,-0.0017250505486100603,0.0,0.0,0.4815519011271767
