*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P         *E/F           *P
            K          atm        1/sec                         0            0            1            1
         1000           10  2.41308e+10      1.93191       1.4514     0.991699      1.55503     0.992593
         1005           10  2.40488e+10      27.7654     0.589087     0.993624     0.611897     0.994649
         1010           10  2.39677e+10      2.55488     0.216492     0.993214     0.232654     0.991883
         1015           10  2.38872e+10      2.70195      1.49641     0.998307       1.5939     0.998293
         1020           10  2.38075e+10      3.63889     0.100099     0.994384     0.108837     0.993232
         1025           10  2.37285e+10      2.06642      1.35836     0.992327      1.52252     0.990962
         1030           10  2.36502e+10      5.23789      1.25193     0.998405      1.29117     0.998617
         1035           10  2.35725e+10       12.155     0.896286     0.997277     0.920171     0.997697
         1040           10  2.34956e+10      4.24416      1.39425     0.998637      1.48684      0.99884
         1045           10  2.34193e+10      11.0404     0.958835     0.997636     0.997397     0.998038
         1050           10  2.33437e+10      21.8604     0.720605     0.995989     0.745541     0.996649
         1055           10  2.32687e+10      38.0705     0.579333     0.993819     0.605953     0.994855
         1060           10  2.31944e+10      22.1676     0.732861     0.996175     0.761788     0.996829
         1065           10  2.31207e+10      39.3324     0.583454     0.993978     0.610914     0.994993
         1070           10  2.30476e+10      3.10608      1.77458     0.998954      1.80678     0.998911
         1075           10  2.29752e+10       11.135      1.03974     0.998078      1.08647     0.998419
         1080           10  2.29033e+10      3.89552      1.62503     0.999007      1.73565     0.999127
         1085           10  2.28321e+10      13.2104     0.994864     0.997942      1.02491     0.998278
         1090           10  2.27614e+10      29.5014     0.694342     0.995926     0.725349     0.996639
         1095           10  2.26914e+10      2.80001     0.857883     0.994437     0.990921      0.99327
         1100           10  2.26219e+10      35.5367     0.656235     0.995473     0.685249     0.996253
         1105           10  2.25529e+10      2.54113      2.18655     0.998426      2.22836     0.995543
         1110           10  2.24845e+10       12.023      1.11052     0.998405      1.15976     0.998694
         1115           10  2.24167e+10      4.58888       1.7061     0.999213       1.8179     0.999328
         1120           10  2.23494e+10      17.3915     0.958246     0.997919     0.991152     0.998278
         1125           10  2.22827e+10      40.3694     0.656389     0.995616     0.685643     0.996367
         1130           10  2.22165e+10      3.89787      1.97006     0.999362       2.0968     0.999411
         1135           10  2.21508e+10      53.5255     0.664179     0.994625     0.684121     0.995567
         1140           10  2.20856e+10      8.33552      1.47862     0.999116      1.50913     0.999238
         1145           10  2.20209e+10      27.1507     0.822234     0.997305     0.857281     0.997786
         1150           10  2.19568e+10      3.60796     0.579481     0.995535     0.672959     0.994571
         1155           10  2.18931e+10       40.876      0.69471     0.996242     0.727688     0.996911
         1160           10  2.18299e+10      4.19156      2.13592     0.999509       2.2333     0.999538
         1165           10  2.17672e+10      20.6365     0.985401     0.998168      1.03278     0.998518
         1170           10   2.1705e+10       52.542     0.642615     0.995628     0.675411     0.996413
         1175           10  2.16433e+10      35.4613     0.774424     0.997073     0.812475     0.997614
         1180           10   2.1582e+10      3.00698      2.72842     0.996028       2.8368     0.998967
         1185           10  2.15212e+10      19.0142      1.09276     0.998548      1.13164     0.998804
         1190           10  2.14608e+10      52.8619     0.666424     0.996049      0.69985      0.99676
         1195           10  2.14009e+10      36.0772     0.804088     0.997357     0.843626      0.99785
         1200           10  2.13414e+10      3.25349      2.90983     0.999461      3.00488     0.996338
         1205           10  2.12824e+10      21.7456      1.07391     0.998542      1.11027     0.998798
         1210           10  2.12237e+10      12.0933      1.49782     0.999257      1.55551     0.999389
         1215           10  2.11656e+10      42.9335     0.772665     0.997196     0.814141     0.997728
         1220           10  2.11078e+10      5.36152      2.38498       0.9997      2.47785     0.999731
         1225           10  2.10505e+10      29.8608     0.952778     0.998199     0.996237     0.998538
