Pressure (atm),Temperature (K),P1_SymmetryFactor_1_P1->W1,W2_Energy_1_P1->W1,B4_Energy_1_P1->W1,W1_Frequencies_1_P1->W1,P2_SymmetryFactor_1_P1->W1,B5_ImaginaryFrequency_1_P1->W1,W1_Energy_1_P1->W1,B4_ImaginaryFrequency_1_P1->W1,B5_Frequencies_1_P1->W1,P2_Energy_1_P1->W1,B4_Frequencies_1_P1->W1,P2_Frequencies_1_P1->W1,B4_SymmetryFactor_1_P1->W1,P1_Frequencies_1_P1->W1,W1_SymmetryFactor_1_P1->W1,B5_SymmetryFactor_1_P1->W1,B5_Energy_1_P1->W1,W2_Frequencies_1_P1->W1,W2_SymmetryFactor_1_P1->W1,P1_Energy_1_P1->W1
10.0,1000.0,1.0000034196928165,0.0,-0.5026298494351309,0.0,0.0,0.0012746963218844228,0.0,0.34021440848117906,0.09395389331430548,0.0,-3.1185999720736,0.0,-1.0218441195787982,1.6620562261877434,0.0,0.020879806373037275,-0.0005397598693624065,0.0,0.0,0.5032218504808688
10.0,1005.0,1.0000033188781623,0.0,-0.5001437594759176,0.0,0.0,0.0011908483891195929,0.0,0.3366622579948247,0.08568553850714822,0.0,-3.114509659609413,0.0,-1.019879490197087,1.668683397485737,0.0,0.01901046529266486,-0.000525759099974716,0.0,0.0,0.500718244705685
10.0,1010.0,1.0000032210062058,0.0,-0.4976823262089083,0.0,0.0,0.0011110900117343224,0.0,0.3331646849360227,0.07781139853065687,0.0,-3.1108935789033656,0.0,-1.0180097565974737,1.675278504319153,0.0,0.0172311161074979,-0.0005117217594787372,0.0,0.0,0.49823942723233533
10.0,1015.0,1.0000031259861868,0.0,-0.4952451482230875,0.0,0.0,0.0010352794687367467,0.0,0.32972057893923695,0.07031592863623712,0.0,-3.1077316086206013,0.0,-1.016231126479726,1.6818417611388172,0.0,0.015538172669218225,-0.0004976888299371077,0.0,0.0,0.49578503172973576
10.0,1020.0,1.0000030337304098,0.0,-0.4928318334076273,0.0,0.0,0.0009632800515631988,0.0,0.3263288576958401,0.06318417802683926,0.0,-3.1050044085809896,0.0,-1.0145399533949704,1.6883733787091977,0.0,0.013928186565553738,-0.0004836989655620638,0.0,0.0,0.49335469904978985
10.0,1025.0,1.0000029441541294,0.0,-0.4904419986732819,0.0,0.0,0.0008949598719729272,0.0,0.3229884661086177,0.056401765948911935,0.0,-3.1026933881642287,0.0,-1.0129327308525966,1.694873564295459,0.0,0.012397841559409189,-0.000469788604244462,0.0,0.0,0.49094807705218835
10.0,1030.0,1.0000028571754398,0.0,-0.4880752696838985,0.0,0.0,0.000830191678010764,0.0,0.31969837547582625,0.04995485882222276,0.0,-3.1007806760902086,0.0,-1.0114060866839192,1.701342521839083,0.0,0.010943948270055733,-0.0004559920737369677,0.0,0.0,0.4885648204343216
10.0,1035.0,1.00000277271517,0.0,-0.4857312805976035,0.0,0.0,0.0007688526776703816,0.0,0.3164575827036221,0.043830148360590335,0.0,-3.099249091509354,0.0,-1.0099567776503124,1.707780452122752,0.0,0.009563439084983949,-0.00044234169275702786,0.0,0.0,0.4862045905661131
10.0,1040.0,1.0000026906967823,0.0,-0.4834096738172689,0.0,0.0,0.0007108243699058735,0.0,0.31326510954574516,0.038014830635164816,0.0,-3.0980821163416263,0.0,-1.0085816842844448,1.7141875529251565,0.0,0.008253363291597612,-0.00042886786726598514,0.0,0.0,0.4838670553296254
10.0,1045.0,1.0000026110462756,0.0,-0.48111009974986846,0.0,0.0,0.0006559923826534491,0.0,0.31012000186937605,0.03249658603693365,0.0,-3.097263868805161,0.0,-1.0072778059535894,1.7205640191663263,0.0,0.007010882418350902,-0.0004155991821641053,0.0,0.0,0.4815518889632642
