    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1         W1->P2
              0    1.39132e+07              0              0    9.57813e-33
              1    6.40206e+07              0     9.0765e+11    2.07273e-30
              2    1.99049e+08              0    3.52471e+12     1.2946e-28
              3    4.77688e+08              0    8.66992e+12    4.92005e-27
              4    1.01223e+09              0    1.69423e+13    1.31608e-25
              5    1.93533e+09              0    2.96094e+13    2.79002e-24
              6    3.44375e+09              0      4.806e+13    4.93396e-23
              7    5.80271e+09              0    7.40523e+13    7.54387e-22
              8    9.34587e+09              0    1.09837e+14    1.02481e-20
              9    1.45307e+10              0    1.57787e+14    1.25769e-19
             10    2.18813e+10              0    2.21352e+14     1.4178e-18
             11    3.21046e+10              0    3.04016e+14    1.48213e-17
             12    4.60155e+10              0    4.10433e+14    1.45068e-16
             13    6.46242e+10              0    5.45838e+14    1.33866e-15
             14    8.91473e+10              0    7.16347e+14    1.17127e-14
             15    1.20997e+11              0    9.29356e+14    9.76679e-14
             16    1.61889e+11              0    1.19309e+15    7.79187e-13
             17    2.13759e+11              0    1.51759e+15     5.9699e-12
             18    2.78912e+11              0    1.91403e+15    4.40556e-11
             19    3.59972e+11              0    2.39557e+15    3.13996e-10
             20    4.59946e+11              0    2.97729e+15    2.16651e-09
             21      5.823e+11              0    3.67626e+15    1.45006e-08
             22    7.30913e+11              0     4.5123e+15    9.43237e-08
             23    9.10232e+11              0     5.5076e+15    5.97259e-07
             24     1.1252e+12              0    6.68771e+15    3.68696e-06
             25    1.38139e+12              0    8.08138e+15    2.22184e-05
             26    1.68504e+12              0    9.72111e+15    0.000130865
             27    2.04303e+12              0    1.16437e+16    0.000754196
             28    2.46308e+12              0    1.38901e+16     0.00425723
             29    2.95366e+12              0    1.65069e+16      0.0235592
             30    3.52415e+12              0    1.95458e+16       0.127924
             31    4.18484e+12              0    2.30647e+16       0.682095
             32    4.94704e+12              0    2.71284e+16        3.57401
             33    5.82313e+12              0    3.18088e+16         18.415
             34     6.8266e+12              0     3.7186e+16        93.3573
             35     7.9722e+12              0    4.33487e+16        465.808
             36    9.27591e+12              0    5.03955e+16        2285.07
             37    1.07551e+13              0     5.8435e+16          10937
             38    1.24287e+13              0    6.75876e+16          49323
             39    1.43168e+13              0    7.79861e+16         191827
             40    1.64417e+13              0     8.9776e+16         601263
             41    1.88268e+13              0    1.03118e+17    1.54785e+06
             42    2.14977e+13              0    1.18189e+17    3.41143e+06
             43    2.44816e+13              0    1.35182e+17    6.67426e+06
             44    2.78081e+13              0    1.54308e+17    1.19164e+07
             45    3.15085e+13              0    1.75801e+17    1.98131e+07
             46    3.56164e+13              0    1.99912e+17     3.1124e+07
             47    4.01678e+13              0    2.26918e+17    4.66764e+07
             48     4.5201e+13              0     2.5712e+17    6.73458e+07
             49     5.0757e+13              0    2.90847e+17    9.40394e+07
             50    5.68792e+13              0    3.28456e+17    1.27685e+08
             51    6.36139e+13              0    3.70334e+17     1.6922e+08
             52    7.10104e+13              0    4.16903e+17    2.19576e+08
             53    7.91208e+13              0    4.68618e+17    2.79668e+08
             54    8.80004e+13              0     5.2268e+17    3.50381e+08
             55    9.77078e+13              0    5.68829e+17    4.32567e+08
             56    1.08305e+14              0    6.04604e+17    5.27037e+08
             57    1.19858e+14              0    6.78035e+17    6.34557e+08
             58    1.32435e+14              0    7.04468e+17    7.55842e+08
             59     1.4611e+14              0    7.86243e+17    8.91552e+08
             60     1.6096e+14              0    8.10123e+17    1.04229e+09
             61    1.77066e+14              0    8.59322e+17    1.20861e+09
             62    1.94514e+14              0    9.11469e+17    1.39101e+09
             63    2.13393e+14              0    9.83723e+17    1.58991e+09
             64    2.33799e+14              0     1.0145e+18     1.8057e+09
             65     2.5583e+14              0     1.0279e+18     2.0387e+09
             66    2.79591e+14              0    1.14537e+18     2.2892e+09
             67    3.05191e+14              0    1.09304e+18     2.5574e+09
             68    3.32746e+14              0    1.13075e+18    2.84349e+09
             69    3.62375e+14              0    1.17558e+18    3.14759e+09
             70    3.94204e+14              0    1.17322e+18    3.46979e+09
             71    4.28366e+14              0    1.22629e+18    3.81012e+09
             72    4.64997e+14              0    1.21862e+18    4.16859e+09
             73    5.04243e+14              0    1.26304e+18    4.54517e+09
             74    5.46254e+14              0    1.27847e+18    4.93979e+09
             75    5.91186e+14              0    1.26235e+18    5.35235e+09
             76    6.39205e+14              0      1.361e+18    5.78271e+09
             77    6.90481e+14              0    1.29432e+18    6.23074e+09
             78    7.45193e+14              0     1.3113e+18    6.69624e+09
             79    8.03526e+14              0    1.36312e+18    7.17902e+09
