========================================
NO+NO_P1_Energy_1_0.0.out
10 atm
T,P1->W1
1000.0,8.79529e-17
1005.0,9.38189e-17
1010.0,1.00016e-16
1015.0,1.06561e-16
1020.0,1.13468e-16
1025.0,1.20753e-16
1030.0,1.28434e-16
1035.0,1.36528e-16
1040.0,1.45052e-16
1045.0,1.54026e-16
1050.0,1.63468e-16
1055.0,1.73397e-16
1060.0,1.83835e-16
1065.0,1.94802e-16
1070.0,2.06319e-16
1075.0,2.18408e-16
1080.0,2.31093e-16
1085.0,2.44396e-16
1090.0,2.58342e-16
1095.0,2.72955e-16
1100.0,2.88261e-16
1105.0,3.04286e-16
1110.0,3.21057e-16
1115.0,3.38601e-16
1120.0,3.56945e-16
1125.0,3.76122e-16
1130.0,3.96157e-16
1135.0,4.17084e-16
1140.0,4.38932e-16
1145.0,4.61735e-16
1150.0,4.85523e-16
1155.0,5.10332e-16
1160.0,5.36197e-16
1165.0,5.6315e-16
1170.0,5.9123e-16
1175.0,6.20471e-16
1180.0,6.50914e-16
1185.0,6.82594e-16
1190.0,7.15553e-16
1195.0,7.4983e-16
1200.0,7.85465e-16
1205.0,8.22503e-16
1210.0,8.60984e-16
1215.0,9.00951e-16
1220.0,9.42453e-16
1225.0,9.85529e-16
1230.0,1.03023e-15
1235.0,1.0766e-15
1240.0,1.1247e-15
1245.0,1.17456e-15
1250.0,1.22624e-15
1255.0,1.27978e-15
1260.0,1.33525e-15
1265.0,1.3927e-15
1270.0,1.45217e-15
1275.0,1.51373e-15
1280.0,1.57742e-15
1285.0,1.64331e-15
1290.0,1.71145e-15
1295.0,1.7819e-15
1300.0,1.85473e-15
1305.0,1.92998e-15
1310.0,2.00773e-15
1315.0,2.08804e-15
1320.0,2.17096e-15
1325.0,2.25657e-15
1330.0,2.34493e-15
1335.0,2.4361e-15
1340.0,2.53017e-15
1345.0,2.62718e-15
1350.0,2.72722e-15
1355.0,2.83034e-15
1360.0,2.93664e-15
1365.0,3.04617e-15
1370.0,3.15901e-15
1375.0,3.27524e-15
1380.0,3.39493e-15
1385.0,3.51816e-15
1390.0,3.64501e-15
