    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1         W1->P2
              0    1.19122e+07              0              0     3.4254e-28
              1    5.48132e+07              0    1.06011e+12    1.58244e-25
              2    1.70422e+08              0    4.11679e+12    2.36233e-23
              3    4.08987e+08              0    1.01263e+13    2.06132e-21
              4    8.66656e+08              0    1.97883e+13    1.21953e-19
              5    1.65699e+09              0    3.45832e+13    5.53602e-18
              6    2.94848e+09              0     5.6133e+13    2.03806e-16
              7    4.96817e+09              0    8.64915e+13    6.32725e-15
              8    8.00176e+09              0    1.28287e+14    1.70669e-13
              9    1.24409e+10              0    1.84291e+14     4.0755e-12
             10    1.87344e+10              0    2.58534e+14    8.77541e-11
             11    2.74874e+10              0    3.55084e+14    1.72251e-09
             12    3.93976e+10              0    4.79376e+14    3.11593e-08
             13      5.533e+10              0    6.37526e+14    5.23602e-07
             14    7.63262e+10              0    8.36678e+14    8.22777e-06
             15    1.03596e+11              0    1.08547e+15    0.000121623
             16    1.38606e+11              0     1.3935e+15     0.00169902
             17    1.83016e+11              0    1.77251e+15      0.0225298
             18    2.38799e+11              0    2.23554e+15       0.284595
             19    3.08201e+11              0    2.79797e+15        3.43575
             20    3.93797e+11              0    3.47741e+15        39.7536
             21    4.98554e+11              0    4.29379e+15        441.895
             22    6.25794e+11              0    5.27027e+15        4724.01
             23    7.79323e+11              0    6.43275e+15        47940.8
             24    9.63376e+11              0    7.81109e+15         405025
             25    1.18272e+12              0    9.43887e+15    1.97716e+06
             26     1.4427e+12              0     1.1354e+16    5.80149e+06
             27     1.7492e+12              0    1.35995e+16    1.30243e+07
             28    2.10885e+12              0    1.62233e+16    2.48034e+07
             29    2.52886e+12              0    1.92797e+16    4.24188e+07
             30    3.01731e+12              0     2.2829e+16    6.71475e+07
             31    3.58298e+12              0    2.69391e+16    1.00226e+08
             32    4.23556e+12              0    3.16854e+16    1.42826e+08
             33    4.98565e+12              0    3.71519e+16    1.95951e+08
             34     5.8448e+12              0    4.34325e+16    2.60502e+08
             35    6.82565e+12              0    5.06303e+16    3.37293e+08
             36    7.94186e+12              0    5.88608e+16    4.27004e+08
             37    9.20833e+12              0    6.82508e+16    5.30196e+08
             38    1.06412e+13              0    7.89408e+16    6.47273e+08
             39    1.22578e+13              0     9.1086e+16    7.78556e+08
             40     1.4077e+13              0    1.04856e+17    9.24252e+08
             41    1.61191e+13              0     1.2044e+17    1.08448e+09
             42    1.84059e+13              0    1.38042e+17    1.25926e+09
             43    2.09607e+13              0    1.57889e+17    1.44855e+09
             44    2.38088e+13              0    1.80229e+17    1.65221e+09
             45    2.69769e+13              0    2.05331e+17    1.87006e+09
             46     3.0494e+13              0    2.33492e+17    2.10187e+09
             47    3.43909e+13              0    2.65035e+17    2.34735e+09
             48    3.87002e+13              0    3.00311e+17    2.60618e+09
             49    4.34571e+13              0    3.39703e+17    2.87801e+09
             50    4.86989e+13              0    3.83629e+17    3.16244e+09
             51     5.4465e+13              0    4.32542e+17    3.45909e+09
             52    6.07977e+13              0    4.86933e+17    3.76753e+09
             53    6.77417e+13              0    5.47336e+17    4.08734e+09
             54    7.53442e+13              0    6.10478e+17    4.41807e+09
             55    8.36555e+13              0     6.6438e+17    4.75928e+09
             56    9.27287e+13              0    7.06164e+17    5.11052e+09
             57     1.0262e+14              0    7.91929e+17    5.47135e+09
             58    1.13388e+14              0    8.22803e+17    5.84132e+09
             59    1.25097e+14              0    9.18314e+17    6.21999e+09
             60    1.37811e+14              0    9.46206e+17    6.60693e+09
             61    1.51601e+14              0    1.00367e+18     7.0017e+09
             62    1.66539e+14              0    1.06458e+18    7.40389e+09
             63    1.82703e+14              0    1.14897e+18    7.81308e+09
             64    2.00174e+14              0    1.18491e+18    8.22888e+09
             65    2.19037e+14              0    1.20056e+18    8.65089e+09
             66     2.3938e+14              0    1.33777e+18    9.07873e+09
             67    2.61299e+14              0    1.27665e+18    9.51204e+09
             68     2.8489e+14              0    1.32069e+18    9.95045e+09
             69    3.10258e+14              0    1.37306e+18    1.03936e+10
             70     3.3751e+14              0     1.3703e+18    1.08412e+10
             71    3.66758e+14              0    1.43228e+18    1.12929e+10
             72    3.98122e+14              0    1.42333e+18    1.17484e+10
             73    4.31723e+14              0     1.4752e+18    1.22074e+10
             74    4.67692e+14              0    1.49322e+18    1.26696e+10
             75    5.06162e+14              0     1.4744e+18    1.31347e+10
             76    5.47275e+14              0    1.58962e+18    1.36024e+10
             77    5.91177e+14              0    1.51174e+18    1.40726e+10
             78     6.3802e+14              0    1.53157e+18    1.45449e+10
             79    6.87964e+14              0     1.5921e+18    1.50191e+10
             80    7.41174e+14              0    1.55334e+18     1.5495e+10
             81    7.97824e+14              0    1.58947e+18    1.59724e+10
             82    8.58093e+14              0    1.58851e+18    1.64511e+10
             83    9.22168e+14              0    1.60777e+18    1.69308e+10
             84    9.90243e+14              0    1.58291e+18    1.74115e+10
             85    1.06252e+15              0    1.58726e+18    1.78928e+10
             86    1.13921e+15              0    1.61967e+18    1.83746e+10
             87    1.22053e+15              0    1.55972e+18    1.88569e+10
             88     1.3067e+15              0    1.59157e+18    1.93393e+10
             89    1.39796e+15              0    1.58702e+18    1.98218e+10
             90    1.49456e+15              0    1.55827e+18    2.03043e+10
             91    1.59674e+15              0    1.56612e+18    2.07865e+10
             92    1.70477e+15              0     1.5592e+18    2.12684e+10
             93    1.81892e+15              0    1.57346e+18    2.17498e+10
             94    1.93947e+15              0    1.53197e+18    2.22306e+10
             95     2.0667e+15              0     1.5373e+18    2.27108e+10
             96    2.20093e+15              0    1.54971e+18    2.31902e+10
             97    2.34245e+15              0    1.49476e+18    2.36686e+10
             98     2.4916e+15              0    1.52388e+18    2.41461e+10
             99     2.6487e+15              0    1.51185e+18    2.46225e+10
            100    2.81409e+15              0     1.4784e+18    2.50978e+10
    E, kcal/mol    D, mol/kcal         W2->W1         W2->P1         W2->P2
              0    1.19122e+07              0              0    1.23417e-33
              1    5.48132e+07              0    1.06011e+12    8.74984e-31
              2    1.70422e+08              0    4.11679e+12    1.18579e-28
              3    4.08987e+08              0    1.01263e+13    9.48969e-27
              4    8.66656e+08              0    1.97883e+13    5.19169e-25
              5    1.65699e+09              0    3.45832e+13    2.19255e-23
              6    2.94848e+09              0     5.6133e+13    7.54459e-22
              7    4.96817e+09              0    8.64915e+13     2.1975e-20
              8    8.00176e+09              0    1.28287e+14    5.57842e-19
              9    1.24409e+10              0    1.84291e+14    1.25695e-17
