Pressure (atm),Temperature (K),P1_SymmetryFactor_1_P1->P2
1.0,200.0,1.000003209400181
1.0,210.0,0.999995776995887
1.0,220.0,0.9999927356907345
1.0,230.0,0.9999919514461282
1.0,240.0,0.9999922984155365
1.0,250.0,0.9999931811401712
1.0,260.0,0.9999942856117595
1.0,270.0,0.999995448013084
1.0,280.0,0.9999965848604605
1.0,290.0,0.999997655576943
1.0,300.0,0.9999986423620786
1.0,310.0,0.9999995393541801
1.0,320.0,1.0000003468089753
1.0,330.0,1.000001067992014
1.0,340.0,1.0000017075379586
1.0,350.0,1.0000022705994478
1.0,360.0,1.0000027624174435
1.0,370.0,1.0000031881135707
1.0,380.0,1.0000035525970155
1.0,390.0,1.0000038605287733
1.0,400.0,1.000004116313327
1.0,410.0,1.0000043241025032
1.0,420.0,1.0000044878040635
1.0,430.0,1.0000046110916276
1.0,440.0,1.0000046974145476
1.0,450.0,1.000004750007318
1.0,460.0,1.000004771898511
1.0,470.0,1.0000047659193692
1.0,480.0,1.0000047347121976
1.0,490.0,1.000004680738669
1.0,500.0,1.0000046062881098
1.0,510.0,1.0000045134857851
1.0,520.0,1.0000044043011862
1.0,530.0,1.0000042805562823
1.0,540.0,1.0000041439337015
1.0,550.0,1.0000039959847937
1.0,560.0,1.000003838137532
1.0,570.0,1.000003671704207
1.0,580.0,1.0000034978888797
1.0,590.0,1.000003317794564
1.0,600.0,1.0000031324301122
1.0,610.0,1.0000029427167876
1.0,620.0,1.000002749494515
1.0,630.0,1.0000025535277997
1.0,640.0,1.0000023555113196
1.0,650.0,1.0000021560751846
1.0,660.0,1.000001955789878
1.0,670.0,1.0000017551708835
1.0,680.0,1.0000015546830103
1.0,690.0,1.0000013547444235
1.0,700.0,1.0000011557304027
1.0,800.0,0.9999992746223046
1.0,900.0,0.9999976870745351
1.0,1000.0,0.9999964251986387
1.0,1100.0,0.999995459954274
1.0,1200.0,0.999994744891547
1.0,1300.0,0.9999942332795957
1.0,1400.0,0.9999938840084368
1.0,1500.0,0.999993662920593
1.0,1600.0,0.9999935424088494
1.0,1700.0,0.9999935004668974
1.0,1800.0,0.9999935196698371
1.0,1900.0,0.9999935862583609
1.0,2000.0,0.9999936893738455
1.0,2100.0,0.9999938204416227
1.0,2200.0,0.9999939726826256
1.0,2300.0,0.9999941407301749
1.0,2400.0,0.9999943203304512
1.0,2500.0,0.999994508108589
1.0,2600.0,0.9999947013858459
1.0,2700.0,0.9999948980363917
1.0,2800.0,0.9999950963748204
1.0,2900.0,0.9999952950675158
