========================================
singlet_B4_Energy_1_34.9759.out
0.1 atm
T,P1->W3
200.0,1.41917e-13
210.0,1.1811e-13
220.0,9.88334e-14
230.0,8.32182e-14
240.0,7.04525e-14
250.0,5.99559e-14
260.0,5.12338e-14
270.0,4.40521e-14
280.0,3.80188e-14
290.0,3.29328e-14
300.0,2.86405e-14
310.0,2.50018e-14
320.0,2.18984e-14
330.0,1.92238e-14
340.0,1.69791e-14
350.0,1.50097e-14
360.0,1.33259e-14
370.0,1.18917e-14
380.0,1.06019e-14
390.0,9.54399e-15
400.0,8.557e-15
410.0,7.77799e-15
420.0,7.09279e-15
430.0,6.46772e-15
440.0,5.81219e-15
450.0,5.33837e-15
460.0,4.82492e-15
470.0,4.46023e-15
480.0,4.04808e-15
490.0,3.66138e-15
500.0,3.35466e-15
510.0,3.03359e-15
520.0,2.81495e-15
530.0,2.57767e-15
540.0,2.34344e-15
550.0,2.12811e-15
560.0,1.95768e-15
570.0,1.77793e-15
580.0,1.61851e-15
590.0,1.49265e-15
600.0,1.36303e-15
610.0,1.24125e-15
620.0,1.13549e-15
630.0,1.03877e-15
640.0,9.55188e-16
650.0,8.84592e-16
660.0,8.14778e-16
670.0,7.54022e-16
680.0,6.99109e-16
690.0,6.40614e-16
700.0,5.97537e-16
800.0,3.18417e-16
900.0,2.11513e-16
1000.0,1.91983e-16
1100.0,2.39686e-16
1200.0,3.09225e-16
1300.0,3.28079e-16
1400.0,4.37526e-16
1500.0,4.60862e-16
1600.0,5.60199e-16
1700.0,6.43229e-16
1800.0,6.61611e-16
1900.0,8.09539e-16
2000.0,8.80264e-16
2100.0,9.8173e-16
2200.0,9.51507e-16
2300.0,1.08107e-15
2400.0,1.07188e-15
2500.0,1.22944e-15
2600.0,1.28132e-15
2700.0,1.27567e-15
2800.0,1.26941e-15
2900.0,1.26204e-15
3000.0,1.25281e-15
========================================
singlet_B4_Energy_1_34.9759.out
0.5 atm
T,P1->W3
200.0,4.91096e-13
210.0,4.15981e-13
220.0,3.53939e-13
230.0,3.02648e-13
240.0,2.59971e-13
250.0,2.24201e-13
260.0,1.94134e-13
270.0,1.68783e-13
280.0,1.47252e-13
290.0,1.28908e-13
300.0,1.13219e-13
310.0,9.97281e-14
320.0,8.80899e-14
330.0,7.79931e-14
340.0,6.93632e-14
350.0,6.17611e-14
360.0,5.51669e-14
370.0,4.94639e-14
380.0,4.43067e-14
390.0,4.00542e-14
400.0,3.61266e-14
410.0,3.29155e-14
420.0,3.01065e-14
430.0,2.75141e-14
440.0,2.48784e-14
450.0,2.28904e-14
460.0,2.07393e-14
470.0,1.91276e-14
480.0,1.74307e-14
490.0,1.58134e-14
500.0,1.4473e-14
510.0,1.31467e-14
520.0,1.21409e-14
530.0,1.11244e-14
540.0,1.01194e-14
550.0,9.20944e-15
560.0,8.45907e-15
570.0,7.70919e-15
580.0,7.03639e-15
590.0,6.47876e-15
600.0,5.92569e-15
610.0,5.41083e-15
620.0,4.96411e-15
630.0,4.55048e-15
640.0,4.1904e-15
650.0,3.88146e-15
660.0,3.5818e-15
670.0,3.31938e-15
680.0,3.08201e-15
690.0,2.83262e-15
700.0,2.64457e-15
800.0,1.42064e-15
900.0,9.34406e-16
1000.0,7.92164e-16
1100.0,9.16798e-16
1200.0,1.13046e-15
1300.0,1.17647e-15
1400.0,1.52161e-15
1500.0,1.58723e-15
1600.0,1.89647e-15
1700.0,2.14841e-15
1800.0,2.19381e-15
1900.0,2.62122e-15
2000.0,2.79617e-15
2100.0,3.0308e-15
2200.0,2.88062e-15
2300.0,3.13546e-15
2400.0,3.01733e-15
2500.0,3.27574e-15
2600.0,3.29171e-15
2700.0,3.17135e-15
2800.0,3.06394e-15
2900.0,2.97278e-15
3000.0,2.89917e-15
========================================
singlet_B4_Energy_1_34.9759.out
1.0 atm
T,P1->W3
200.0,7.77394e-13
210.0,6.64994e-13
220.0,5.71092e-13
230.0,4.92583e-13
240.0,4.26582e-13
250.0,3.70715e-13
260.0,3.23342e-13
270.0,2.83002e-13
280.0,2.48492e-13
290.0,2.18868e-13
300.0,1.93326e-13
310.0,1.71217e-13
320.0,1.52019e-13
330.0,1.35279e-13
340.0,1.2086e-13
350.0,1.08082e-13
360.0,9.69406e-14
370.0,8.72349e-14
380.0,7.84314e-14
390.0,7.1112e-14
400.0,6.43684e-14
410.0,5.87971e-14
420.0,5.3891e-14
430.0,4.93544e-14
440.0,4.47493e-14
450.0,4.12164e-14
460.0,3.74406e-14
470.0,3.45305e-14
480.0,3.15082e-14
490.0,2.86498e-14
500.0,2.62338e-14
510.0,2.38776e-14
520.0,2.20309e-14
530.0,2.01885e-14
540.0,1.83982e-14
550.0,1.67727e-14
560.0,1.54057e-14
570.0,1.40646e-14
580.0,1.28605e-14
590.0,1.18407e-14
600.0,1.0849e-14
610.0,9.92495e-15
620.0,9.11988e-15
630.0,8.37361e-15
640.0,7.72209e-15
650.0,7.15572e-15
660.0,6.61189e-15
670.0,6.1348e-15
680.0,5.70163e-15
690.0,5.25034e-15
700.0,4.90581e-15
800.0,2.65177e-15
900.0,1.73765e-15
1000.0,1.43053e-15
1100.0,1.58674e-15
1200.0,1.91642e-15
1300.0,1.98094e-15
1400.0,2.53286e-15
1500.0,2.63395e-15
1600.0,3.12376e-15
1700.0,3.51271e-15
1800.0,3.56714e-15
1900.0,4.19614e-15
2000.0,4.41571e-15
2100.0,4.69842e-15
2200.0,4.40807e-15
2300.0,4.68673e-15
2400.0,4.44522e-15
2500.0,4.72384e-15
2600.0,4.70046e-15
2700.0,4.49754e-15
2800.0,4.32954e-15
2900.0,4.20003e-15
3000.0,4.10966e-15
========================================
singlet_B4_Energy_1_34.9759.out
2.0 atm
T,P1->W3
200.0,1.16733e-12
210.0,1.00896e-12
220.0,8.7508e-13
230.0,7.61835e-13
240.0,6.65599e-13
250.0,5.83302e-13
260.0,5.1284e-13
270.0,4.52242e-13
280.0,3.9997e-13
290.0,3.54722e-13
300.0,3.15377e-13
310.0,2.81063e-13
320.0,2.51052e-13
330.0,2.2472e-13
340.0,2.01864e-13
350.0,1.81466e-13
360.0,1.63572e-13
370.0,1.47855e-13
380.0,1.33544e-13
390.0,1.21524e-13
400.0,1.10448e-13
410.0,1.01198e-13
420.0,9.29877e-14
430.0,8.53661e-14
440.0,7.76684e-14
450.0,7.16215e-14
460.0,6.52643e-14
470.0,6.02154e-14
480.0,5.50581e-14
490.0,5.02061e-14
500.0,4.60353e-14
510.0,4.20125e-14
520.0,3.87529e-14
530.0,3.55493e-14
540.0,3.24827e-14
550.0,2.96927e-14
560.0,2.72961e-14
570.0,2.49859e-14
580.0,2.29063e-14
590.0,2.1107e-14
600.0,1.9388e-14
610.0,1.77842e-14
620.0,1.63788e-14
630.0,1.50736e-14
640.0,1.39294e-14
650.0,1.29218e-14
660.0,1.19623e-14
670.0,1.1118e-14
680.0,1.03481e-14
690.0,9.55274e-15
700.0,8.93672e-15
800.0,4.8754e-15
900.0,3.18696e-15
1000.0,2.55526e-15
1100.0,2.70432e-15
1200.0,3.1922e-15
1300.0,3.27859e-15
1400.0,4.14568e-15
1500.0,4.29753e-15
1600.0,5.05182e-15
1700.0,5.6253e-15
1800.0,5.66558e-15
1900.0,6.52955e-15
2000.0,6.75174e-15
2100.0,7.03064e-15
2200.0,6.50351e-15
2300.0,6.76295e-15
2400.0,6.33954e-15
2500.0,6.64201e-15
2600.0,6.59403e-15
2700.0,6.30804e-15
2800.0,6.09255e-15
2900.0,5.9509e-15
3000.0,5.88371e-15
========================================
singlet_B4_Energy_1_34.9759.out
4.0 atm
T,P1->W3
200.0,1.66316e-12
210.0,1.45129e-12
220.0,1.27043e-12
230.0,1.1159e-12
240.0,9.83331e-13
250.0,8.68935e-13
260.0,7.7012e-13
270.0,6.84372e-13
280.0,6.09817e-13
290.0,5.44754e-13
300.0,4.87714e-13
310.0,4.37597e-13
320.0,3.93443e-13
330.0,3.54445e-13
340.0,3.2033e-13
350.0,2.89664e-13
360.0,2.6258e-13
370.0,2.38577e-13
380.0,2.16632e-13
390.0,1.97945e-13
400.0,1.8072e-13
410.0,1.66124e-13
420.0,1.53061e-13
430.0,1.40897e-13
440.0,1.28744e-13
450.0,1.18906e-13
460.0,1.08784e-13
470.0,1.0048e-13
480.0,9.21612e-14
490.0,8.43671e-14
500.0,7.75529e-14
510.0,7.10462e-14
520.0,6.56018e-14
530.0,6.03251e-14
540.0,5.53315e-14
550.0,5.0774e-14
560.0,4.67806e-14
570.0,4.29829e-14
580.0,3.9549e-14
590.0,3.65203e-14
600.0,3.36632e-14
610.0,3.09914e-14
620.0,2.86331e-14
630.0,2.64366e-14
640.0,2.44998e-14
650.0,2.27733e-14
660.0,2.11382e-14
670.0,1.96924e-14
680.0,1.83676e-14
690.0,1.70096e-14
700.0,1.59405e-14
800.0,8.8132e-15
900.0,5.75976e-15
1000.0,4.51679e-15
1100.0,4.55161e-15
1200.0,5.22901e-15
1300.0,5.33348e-15
1400.0,6.66443e-15
1500.0,6.88037e-15
1600.0,7.9962e-15
1700.0,8.78532e-15
1800.0,8.74475e-15
1900.0,9.82357e-15
2000.0,9.95447e-15
2100.0,1.01432e-14
2200.0,9.264e-15
2300.0,9.47385e-15
2400.0,8.82175e-15
2500.0,9.20068e-15
2600.0,9.19363e-15
2700.0,8.85535e-15
2800.0,8.64352e-15
2900.0,8.56484e-15
3000.0,8.62621e-15
========================================
singlet_B6_Energy_1_34.9759.out
0.1 atm
T,P1->W3
200.0,1.72698e-13
210.0,1.42014e-13
220.0,1.17551e-13
230.0,9.79984e-14
240.0,8.21922e-14
250.0,6.93717e-14
260.0,5.88243e-14
270.0,5.02163e-14
280.0,4.30442e-14
290.0,3.70326e-14
300.0,3.20588e-14
310.0,2.78355e-14
320.0,2.42571e-14
330.0,2.11976e-14
340.0,1.86414e-14
350.0,1.64278e-14
360.0,1.45368e-14
370.0,1.2928e-14
380.0,1.1462e-14
390.0,1.02924e-14
400.0,9.21118e-15
410.0,8.32626e-15
420.0,7.57131e-15
430.0,6.86974e-15
440.0,6.17992e-15
450.0,5.6629e-15
460.0,5.09074e-15
470.0,4.66867e-15
480.0,4.24428e-15
490.0,3.82901e-15
500.0,3.48388e-15
510.0,3.1549e-15
520.0,2.90478e-15
530.0,2.65695e-15
540.0,2.40277e-15
550.0,2.17527e-15
560.0,1.99431e-15
570.0,1.81139e-15
580.0,1.64686e-15
590.0,1.51452e-15
600.0,1.37904e-15
610.0,1.25404e-15
620.0,1.14738e-15
630.0,1.04849e-15
640.0,9.62295e-16
650.0,8.89988e-16
660.0,8.19412e-16
670.0,7.57584e-16
680.0,7.01995e-16
690.0,6.4306e-16
