Pressure (atm),Temperature (K),B7_Energy_1_P3->P4,B7_Energy_1_P3->P5,B7_Energy_1_P3->W3,B7_Energy_1_P4->P5,B7_Energy_1_P1->P3,B7_Energy_1_W3->P5,B7_Energy_1_W3->P4,B7_Energy_1_W3->P1,B7_Energy_1_W3->P3,B7_Energy_1_P5->W3,B7_Energy_1_P1->W3,B7_Energy_1_P4->W3,B7_Energy_1_P1->P4,B7_Energy_1_P1->P5
0.1,200.0,-2.423952360546301e-05,4.20770115323768e-07,6.545208594510609e-07,3.8022133841635956e-07,-1.1477942561969654e-07,-0.00031608219193282025,1.763685480832346e-06,2.618939258726716e-07,6.658199625076082e-07,-0.0003366583160085482,2.813528607573359e-07,1.7909045830114437e-06,-7.204565272897704e-06,8.45527181893124e-08
0.1,210.0,0.0002784378271049804,-4.724623558520393e-06,-7.1645235654460836e-06,-4.3475566059415946e-06,1.328750122839023e-06,-0.0009666430558510006,-1.9769018132670638e-05,-2.9151555174761028e-06,-7.312150622877792e-06,-0.0009061756506151038,-3.1484385682827586e-06,-2.0053977785608512e-05,7.413530171158952e-05,-9.277926730574727e-07
0.1,220.0,-0.0011600649041146364,1.914412434509622e-05,2.8060861407213625e-05,1.7984560126214788e-05,-5.587509363532109e-06,-0.007044477280282417,7.981828475501956e-05,1.1650146579083093e-05,2.8747963481439997e-05,-0.007040762289806526,1.2685600828335948e-05,8.085536769640751e-05,-0.0002620200774557672,3.607958210454734e-06
0.1,230.0,0.0019436521398800734,-3.09431214825034e-05,-4.27137093296754e-05,-2.970934623777388e-05,9.482452607202351e-06,0.03444763486592423,-0.00012718592933311216,-1.8212368759201703e-05,-4.396466067754876e-05,0.03447513519766605,-2.0149012712651014e-05,-0.00012851797970476456,0.00031055773726857306,-5.299918705447095e-06
0.1,240.0,-0.00045955054925299896,2.502421385126044e-06,5.036435940864827e-06,6.250933949540961e-06,-2.375385433909441e-06,-0.03877969597763856,2.0926771888222525e-05,2.4336523257481637e-06,5.2696768337735645e-06,-0.03878896176298611,3.2300118244909624e-06,2.064598391910882e-05,0.000124416226600305,1.3249553943654582e-07
0.1,250.0,-0.0015166106216708169,2.090242683504162e-05,3.155984331670415e-05,2.3318784038267042e-05,-7.460882531302719e-06,-0.030580186256005434,9.89705508532661e-05,1.4174938254684292e-05,3.279495923822232e-05,-0.030625453181092503,1.5670648558163843e-05,0.00010000518445915687,-0.0002631867851003254,4.142434509287329e-06
0.1,260.0,-0.00029511346770626326,6.368495323404592e-06,1.1611772226847563e-05,5.642334515759949e-06,-1.3118935517142107e-06,0.03250982272514188,2.9858523605003472e-05,4.9682699186307235e-06,1.2061252970591918e-05,0.03246237720190851,4.810387678239108e-06,3.078369828396749e-05,-0.0002854214828864423,1.3227784078189205e-06
0.1,270.0,0.0010531066008448485,-1.2724861319723959e-05,-1.533118320313286e-05,-1.5296738518858474e-05,5.3620011291146745e-06,0.0613011394943812,-5.924030395588495e-05,-7.848369786132249e-06,-1.6229754434324268e-05,0.06127397133185968,-9.30003647643992e-06,-5.9306040596669416e-05,-5.343133973781947e-06,-3.621842191235008e-06
0.1,280.0,0.0012664924360820536,-1.8194981569082266e-05,-2.3933538710246614e-05,-1.9947257558375625e-05,6.3125748429874485e-06,0.028628429684933187,-8.350383362691644e-05,-1.2011431777883872e-05,-2.544292749034281e-05,0.02862369746492676,-1.3199197027234487e-05,-8.444893716227588e-05,0.0002704873509849486,-5.960291388325759e-06
0.1,290.0,0.000507020782661547,-1.1058867955424492e-05,-1.4992671875837292e-05,-9.737574336411985e-06,2.39047656128917e-06,-0.03500938591931872,-4.4197721746600796e-05,-7.119274293046511e-06,-1.5999028686853325e-05,-0.03500082305848902,-7.037548792489969e-06,-4.5380720605284024e-05,0.00034380057545850074,-4.6362089142381184e-06
0.1,300.0,-0.00048651722873056005,-5.848603889268555e-07,-2.276029707563794e-07,4.77004573767167e-06,-2.66762071741941e-06,-0.08497940039109068,1.7233542163023798e-05,1.3622829851922238e-06,-1.0662167531736824e-09,-0.08496805492710703,2.642719300330858e-06,1.646038263364365e-05,0.0002055086269658286,-1.2561257198677833e-06
0.1,310.0,-0.001113924394770804,5.412567888263739e-06,1.0736664115497845e-05,1.438198512091425e-05,-5.818828741082501e-06,-0.09222841639332315,6.277418066947502e-05,8.1312915579498e-06,1.2266037067893852e-05,-0.09222103383649648,9.820671045228776e-06,6.278172551716067e-05,-3.753351356156839e-05,1.9416049229058975e-06
0.1,320.0,-0.0011592622016229155,4.024177277755377e-06,1.4699332988086872e-05,1.515902047519959e-05,-5.960692222312655e-06,-0.05094465414055487,7.528692405054532e-05,1.0606526295694245e-05,1.7035783950202482e-05,-0.05094334858094214,1.178363758609148e-05,7.611427322027327e-05,-0.00025922012545213,3.3995907038003825e-06
0.1,330.0,-0.0007245685184582287,-3.54953902927728e-06,1.3572213002345945e-05,7.75288243441943e-06,-3.6129058945297155e-06,0.027082640687345793,5.6951978291243354e-05,8.851867140149752e-06,1.591019170210833e-05,0.027079074483834516,8.893642579683432e-06,5.837952088437128e-05,-0.0003745718985595395,2.617464534839901e-06
