========================================
tripplet_W1b_Energy_1_0.0.out
0.1 atm
T,P1->P2
200.0,3.40389e-12
210.0,3.02972e-12
220.0,2.71452e-12
230.0,2.44708e-12
240.0,2.21849e-12
250.0,2.02127e-12
260.0,1.85148e-12
270.0,1.70338e-12
280.0,1.57414e-12
290.0,1.46054e-12
300.0,1.36025e-12
310.0,1.27217e-12
320.0,1.19347e-12
330.0,1.1237e-12
340.0,1.06079e-12
350.0,1.0042e-12
360.0,9.54789e-13
370.0,9.09207e-13
380.0,8.68465e-13
390.0,8.32099e-13
400.0,7.97877e-13
410.0,7.68494e-13
420.0,7.40685e-13
430.0,7.13999e-13
440.0,6.9396e-13
450.0,6.728e-13
460.0,6.55441e-13
470.0,6.3806e-13
480.0,6.23022e-13
490.0,6.10364e-13
500.0,5.95077e-13
510.0,5.86303e-13
520.0,5.74987e-13
530.0,5.67041e-13
540.0,5.60695e-13
550.0,5.52708e-13
560.0,5.47337e-13
570.0,5.41138e-13
580.0,5.37851e-13
590.0,5.33226e-13
600.0,5.31392e-13
610.0,5.29602e-13
620.0,5.27458e-13
630.0,5.25738e-13
640.0,5.26343e-13
650.0,5.26555e-13
660.0,5.26926e-13
670.0,5.27549e-13
680.0,5.29831e-13
690.0,5.31674e-13
700.0,5.34291e-13
800.0,5.82386e-13
900.0,6.67321e-13
1000.0,7.86011e-13
1100.0,9.38448e-13
1200.0,1.12557e-12
1300.0,1.34888e-12
1400.0,1.61011e-12
1500.0,1.91107e-12
1600.0,2.25345e-12
1700.0,2.63895e-12
1800.0,3.06908e-12
1900.0,3.54521e-12
2000.0,4.06857e-12
2100.0,4.64024e-12
2200.0,5.26115e-12
2300.0,5.93207e-12
2400.0,6.6536e-12
2500.0,7.4262e-12
2600.0,8.25016e-12
2700.0,9.12562e-12
2800.0,1.00525e-11
2900.0,1.10308e-11
3000.0,1.20599e-11
========================================
tripplet_W1b_Energy_1_0.0.out
0.5 atm
T,P1->P2
200.0,4.45567e-12
210.0,3.91639e-12
220.0,3.46618e-12
230.0,3.088e-12
240.0,2.76777e-12
250.0,2.49429e-12
260.0,2.26073e-12
270.0,2.05896e-12
280.0,1.88415e-12
290.0,1.73154e-12
