    E, kcal/mol    D, mol/kcal       W1a->W1b        W1a->P1
            -10              0            ***            ***
             -9              0            ***            ***
             -8              0            ***            ***
             -7              0            ***            ***
             -6              0            ***            ***
             -5              0            ***            ***
             -4    4.00753e+06              0              0
             -3    2.98783e+08     1.1264e+10              0
             -2    2.83053e+09    5.25016e+10              0
             -1    1.41512e+10    9.80576e+10              0
    1.36068e-15    5.05824e+10    1.40005e+11    2.40674e-06
              1    1.47704e+11    1.75262e+11    4.15366e+11
              2    3.77094e+11    2.04194e+11    1.87887e+12
              3    8.72672e+11    2.28626e+11    2.64043e+12
              4    1.87032e+12    2.49947e+11    2.50781e+12
              5    3.76683e+12    2.68836e+11    2.54136e+12
              6     7.2056e+12    2.85684e+11    2.76226e+12
              7    1.31965e+13    3.00839e+11    2.81587e+12
              8     2.3282e+13    3.14568e+11    2.75523e+12
              9    3.97635e+13    3.27062e+11    2.74233e+12
             10    6.60045e+13    3.38486e+11    2.73645e+12
             11    1.06832e+14    3.48977e+11    2.69216e+12
             12    1.69061e+14    3.58649e+11    2.63658e+12
             13    2.62176e+14    3.67595e+11    2.59272e+12
             14    3.99201e+14    3.75898e+11    2.54083e+12
             15    5.97805e+14    3.83631e+11     2.4816e+12
             16    8.81695e+14    3.90853e+11    2.42451e+12
             17    1.28236e+15    3.97618e+11    2.36896e+12
             18    1.84121e+15    4.03971e+11    2.31061e+12
             19    2.61228e+15    4.09953e+11    2.25278e+12
    E, kcal/mol    D, mol/kcal       W1b->W1a        W1b->P2
            -10              0            ***            ***
             -9         529152              0    2.21127e+07
             -8     5.2694e+06              0    8.34828e+07
             -7    2.30744e+07              0     2.5366e+08
             -6    7.43737e+07              0     6.5894e+08
             -5     2.0129e+08              0     1.5499e+09
             -4    4.84089e+08              0    3.40296e+09
             -3    1.06567e+09    3.15809e+09    7.08198e+09
             -2    2.18942e+09    6.78752e+10    1.39876e+10
             -1    4.25134e+09    3.26398e+11    2.60411e+10
    1.36068e-15    7.87567e+09    8.99201e+11    4.54124e+10
              1    1.40205e+10    1.84637e+12    7.43249e+10
              2     2.4122e+10    3.19212e+12    1.15192e+11
              3    4.02883e+10    4.95219e+12     1.7093e+11
              4    6.55508e+10    7.13159e+12     2.4511e+11
              5    1.04204e+11    9.71801e+12    3.41697e+11
              6    1.62249e+11    1.26874e+13    4.64671e+11
              7    2.47944e+11    1.60118e+13    6.17866e+11
              8    3.72516e+11    1.96603e+13    8.04833e+11
              9    5.51074e+11    2.35996e+13    1.02869e+12
             10    8.03728e+11    2.77975e+13    1.29214e+12
             11    1.15698e+12    3.22233e+13     1.5975e+12
             12    1.64549e+12    3.68483e+13    1.94655e+12
             13    2.31414e+12     4.1646e+13    2.34057e+12
             14    3.22065e+12    4.65927e+13    2.78038e+12
             15    4.43875e+12    5.16668e+13    3.26633e+12
             16     6.0619e+12    5.68491e+13     3.7984e+12
             17    8.20786e+12    6.21219e+13    4.37624e+12
             18    1.10241e+13    6.74699e+13    4.99918e+12
             19    1.46944e+13    7.28788e+13    5.66632e+12
