========================================
tripplet_W1b_Frequencies_1_0.1.out
0.1 atm
T,P1->P2
200.0,1.36744e-12
210.0,1.01113e-12
220.0,8.09555e-13
230.0,5.58939e-13
240.0,4.80456e-13
250.0,4.05053e-13
260.0,2.70666e-13
270.0,1.79088e-13
280.0,1.5496e-13
290.0,1.78538e-13
300.0,1.56036e-13
310.0,6.43799e-14
320.0,9.69057e-14
330.0,5.02316e-14
340.0,6.41787e-14
350.0,8.66394e-14
360.0,4.03304e-14
370.0,6.90371e-14
380.0,5.49668e-14
390.0,4.53823e-14
400.0,5.90645e-14
410.0,5.09564e-14
420.0,6.35514e-14
430.0,9.03358e-14
440.0,6.65621e-14
450.0,7.9624e-14
460.0,7.1939e-14
470.0,8.09366e-14
480.0,8.64521e-14
490.0,8.99366e-14
500.0,1.13395e-13
510.0,1.02454e-13
520.0,1.14344e-13
530.0,1.1754e-13
540.0,1.1678e-13
550.0,1.2935e-13
560.0,1.30234e-13
570.0,1.43757e-13
580.0,1.42616e-13
590.0,1.64913e-13
600.0,1.54682e-13
610.0,1.599e-13
620.0,1.67546e-13
630.0,1.88849e-13
640.0,1.80796e-13
650.0,1.87617e-13
660.0,1.94318e-13
670.0,2.0593e-13
680.0,2.09354e-13
690.0,2.17845e-13
700.0,2.23904e-13
800.0,3.01947e-13
900.0,3.79292e-13
1000.0,4.38475e-13
1100.0,4.50287e-13
1200.0,3.94149e-13
1300.0,2.79874e-13
1400.0,1.47946e-13
1500.0,7.79433e-15
1600.0,-8.94724e-14
1700.0,-1.90073e-13
1800.0,-2.81831e-13
1900.0,-3.76467e-13
2000.0,-4.60855e-13
2100.0,-5.39923e-13
2200.0,-6.18816e-13
2300.0,-6.9702e-13
2400.0,-7.74901e-13
2500.0,-8.55385e-13
2600.0,-9.36132e-13
2700.0,-1.01781e-12
2800.0,-1.11786e-12
2900.0,-1.21108e-12
3000.0,-1.3056e-12
========================================
tripplet_W1b_Frequencies_1_0.1.out
0.5 atm
T,P1->P2
200.0,5.28568e-13
210.0,2.68303e-13
220.0,1.2954e-13
230.0,1.88162e-16
240.0,-3.02999e-14
250.0,-5.19348e-14
260.0,-9.97435e-14
270.0,-1.22067e-13
280.0,-1.08541e-13
290.0,-7.62006e-14
300.0,-6.95889e-14
310.0,-8.91324e-14
320.0,-6.18819e-14
330.0,-6.49841e-14
340.0,-4.37888e-14
350.0,-2.30851e-14
360.0,-3.00043e-14
370.0,-1.1586e-14
380.0,-4.17324e-15
390.0,-1.10009e-15
400.0,1.40097e-14
410.0,1.77089e-14
420.0,2.88393e-14
430.0,4.5796e-14
440.0,4.36436e-14
450.0,5.39971e-14
460.0,5.68631e-14
470.0,6.63204e-14
480.0,7.36048e-14
490.0,7.89947e-14
500.0,9.43701e-14
510.0,9.35041e-14
520.0,1.03806e-13
530.0,1.08847e-13
540.0,1.13304e-13
550.0,1.21921e-13
560.0,1.27421e-13
570.0,1.3652e-13
580.0,1.41075e-13
590.0,1.5245e-13
600.0,1.54558e-13
610.0,1.60421e-13
620.0,1.68416e-13
630.0,1.79273e-13
640.0,1.82343e-13
650.0,1.89006e-13
660.0,1.96115e-13
670.0,2.0621e-13
680.0,2.11012e-13
690.0,2.19843e-13
700.0,2.25754e-13
800.0,3.04342e-13
900.0,3.77466e-13
1000.0,4.31092e-13
1100.0,4.33738e-13
1200.0,3.66817e-13
1300.0,2.46094e-13
1400.0,1.29254e-13
1500.0,-1.10498e-14
1600.0,-1.06018e-13
1700.0,-1.95401e-13
1800.0,-2.84694e-13
1900.0,-3.78215e-13
2000.0,-4.59493e-13
2100.0,-5.36765e-13
2200.0,-6.19085e-13
2300.0,-6.96884e-13
2400.0,-7.75192e-13
2500.0,-8.57181e-13
2600.0,-9.4169e-13
2700.0,-1.02385e-12
2800.0,-1.14651e-12
2900.0,-1.24093e-12
3000.0,-1.33385e-12
========================================
tripplet_W1b_Frequencies_1_0.1.out
1.0 atm
T,P1->P2
200.0,4.07163e-13
210.0,1.42082e-13
220.0,1.62536e-15
230.0,-1.10706e-13
240.0,-1.3835e-13
250.0,-1.53843e-13
260.0,-1.82909e-13
270.0,-1.90668e-13
280.0,-1.702e-13
290.0,-1.36349e-13
300.0,-1.21874e-13
310.0,-1.26554e-13
320.0,-9.81907e-14
330.0,-9.17128e-14
340.0,-6.88956e-14
350.0,-4.73421e-14
360.0,-4.615e-14
370.0,-2.78336e-14
380.0,-1.70368e-14
390.0,-1.01867e-14
400.0,4.89925e-15
410.0,1.15163e-14
420.0,2.30053e-14
430.0,3.83229e-14
440.0,4.01831e-14
450.0,5.03679e-14
460.0,5.55637e-14
470.0,6.4931e-14
480.0,7.27289e-14
490.0,7.90491e-14
500.0,9.24427e-14
510.0,9.39943e-14
520.0,1.03822e-13
530.0,1.09599e-13
540.0,1.14904e-13
550.0,1.23115e-13
560.0,1.29186e-13
570.0,1.37953e-13
580.0,1.43111e-13
590.0,1.53553e-13
600.0,1.56856e-13
610.0,1.62902e-13
620.0,1.70903e-13
630.0,1.80768e-13
640.0,1.85011e-13
650.0,1.91526e-13
660.0,1.98666e-13
670.0,2.08644e-13
680.0,2.13441e-13
690.0,2.22621e-13
700.0,2.28042e-13
800.0,3.05239e-13
900.0,3.72645e-13
1000.0,4.2084e-13
1100.0,4.15439e-13
1200.0,3.40136e-13
1300.0,2.14722e-13
1400.0,1.13927e-13
1500.0,-2.77474e-14
1600.0,-1.21012e-13
1700.0,-2.00753e-13
1800.0,-2.85446e-13
1900.0,-3.81171e-13
2000.0,-4.59287e-13
2100.0,-5.3495e-13
2200.0,-6.21266e-13
2300.0,-6.97974e-13
2400.0,-7.76283e-13
2500.0,-8.58659e-13
2600.0,-9.46281e-13
2700.0,-1.02788e-12
2800.0,-1.17141e-12
2900.0,-1.26563e-12
3000.0,-1.35566e-12
========================================
tripplet_W1b_Frequencies_1_0.1.out
2.0 atm
T,P1->P2
200.0,5.77284e-13
210.0,2.5525e-13
220.0,7.08407e-14
230.0,-6.34557e-14
240.0,-1.15397e-13
250.0,-1.47199e-13
260.0,-1.79026e-13
270.0,-1.89032e-13
280.0,-1.72954e-13
290.0,-1.44796e-13
300.0,-1.30462e-13
310.0,-1.29604e-13
320.0,-1.03283e-13
330.0,-9.31232e-14
340.0,-7.12627e-14
350.0,-5.07649e-14
360.0,-4.54122e-14
370.0,-2.81434e-14
380.0,-1.61498e-14
390.0,-7.41268e-15
400.0,6.74313e-15
410.0,1.49675e-14
420.0,2.6112e-14
430.0,3.94623e-14
440.0,4.40709e-14
450.0,5.37178e-14
460.0,6.03241e-14
470.0,6.91973e-14
480.0,7.70491e-14
490.0,8.39757e-14
500.0,9.53259e-14
510.0,9.86368e-14
520.0,1.07705e-13
530.0,1.13954e-13
540.0,1.19845e-13
550.0,1.27474e-13
560.0,1.33868e-13
570.0,1.42222e-13
580.0,1.47684e-13
590.0,1.57555e-13
600.0,1.61305e-13
610.0,1.67338e-13
620.0,1.75237e-13
630.0,1.84709e-13
640.0,1.89219e-13
650.0,1.95355e-13
660.0,2.02416e-13
670.0,2.12625e-13
680.0,2.16762e-13
690.0,2.26499e-13
700.0,2.30916e-13
800.0,3.04838e-13
900.0,3.61953e-13
1000.0,4.01343e-13
1100.0,3.84313e-13
1200.0,2.98759e-13
1300.0,1.69492e-13
1400.0,9.12173e-14
1500.0,-5.13185e-14
1600.0,-1.42283e-13
